素材MD5,素材名称,消耗,点击率,3秒完播率,转化成本,下单ROI
a1b2c3d4e5,男装夏季短袖卖点版型,128340.50,3.82%,45.6%,38.2,2.15
f6g7h8i9j0,男装透气面料场景图,98220.00,4.10%,52.3%,35.8,2.40
k1l2m3n4o5,男装细节工艺特写,76500.30,3.55%,41.2%,42.1,1.98
p6q7r8s9t0,男装上身效果混剪,205800.80,4.55%,58.1%,33.5,2.68
u1v2w3x4y5,男装搭配场景短视频,45200.00,2.98%,38.4%,48.6,1.72
z6a7b8c9d0,男装防皱卖点演示,89300.60,3.91%,49.7%,36.9,2.22
e1f2g3h4i5,男装领口袖口细节,32100.20,2.75%,35.1%,52.3,1.55
j6k7l8m9n0,男装正面实物展示,156700.90,4.22%,54.8%,34.1,2.51
o1p2q3r4s5,男装舒适亲肤体验,67800.40,3.40%,43.9%,40.7,2.05
t6u7v8w9x0,男装限时优惠促销,178900.00,4.68%,60.2%,32.0,2.85
